Model File	Objective Rxn	Candidate Reaction	Fba Status	Fba Objective Value	Pfba Status	Pfba Flux For Candidate Reaction	Fva Status	Fva Min 90pct	Fva Max 90pct	Notes
Acinetobacter_radioresistens_SK82.mat	bio1	3FCHLOR	1	29.0459676909937	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Acinetobacter_radioresistens_SK82.mat	bio1	4FCHLOR	1	29.0459676909937	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Acinetobacter_radioresistens_SK82.mat	bio1	CTCHLOR	1	29.0459676909937	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Alistipes_shahii_WAL_8301.mat	biomass399	EX_phenol(e)	1	66.6229653325568	1	-0	OK_90pct	-0	136.753226031512	limited_xenobiotic_PFAS_adjacent_diagnostic
Alistipes_shahii_WAL_8301.mat	biomass399	PHENOLt2rpp	1	66.6229653325568	1	-0	OK_90pct	-136.753226031512	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Alistipes_shahii_WAL_8301.mat	biomass399	PHENOLtex	1	66.6229653325568	1	-0	OK_90pct	-136.753226031512	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Bacteroides_xylanisolvens_XB1A.mat	biomass525	EX_phenol(e)	1	72.2623958588676	1	-0	OK_90pct	-0	100.000010696857	limited_xenobiotic_PFAS_adjacent_diagnostic
Bacteroides_xylanisolvens_XB1A.mat	biomass525	PHENOLt2rpp	1	72.2623958588676	1	-0	OK_90pct	-100.000010696857	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Bacteroides_xylanisolvens_XB1A.mat	biomass525	PHENOLtex	1	72.2623958588676	1	-0	OK_90pct	-100.000010696857	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Burkholderia_cenocepacia_H111.mat	bio1	3FCHLOR	1	88.0785321404346	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Burkholderia_cenocepacia_H111.mat	bio1	4FCHLOR	1	88.0785321404346	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Burkholderia_cenocepacia_H111.mat	bio1	CTCHLOR	1	88.0785321404346	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642.mat	biomass414	EX_phenol(e)	1	66.0540849967232	1	-0	OK_90pct	-0.204202339579878	69.7777967701472	limited_xenobiotic_PFAS_adjacent_diagnostic
Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642.mat	biomass414	PHENOLt2rpp	1	66.0540849967232	1	-0	OK_90pct	-69.7777967701472	0.204202339579878	limited_xenobiotic_PFAS_adjacent_diagnostic
Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642.mat	biomass414	PHENOLtex	1	66.0540849967232	1	-0	OK_90pct	-69.7777967701472	0.204202339579878	limited_xenobiotic_PFAS_adjacent_diagnostic
Desulfovibrio_piger_ATCC_29098.mat	biomass525	EX_phenol(e)	1	35.1400666129393	1	-0	OK_90pct	-1000	1000	limited_xenobiotic_PFAS_adjacent_diagnostic
Desulfovibrio_piger_ATCC_29098.mat	biomass525	PHENOLt2rpp	1	35.1400666129393	1	-0	OK_90pct	-1000	1000	limited_xenobiotic_PFAS_adjacent_diagnostic
Desulfovibrio_piger_ATCC_29098.mat	biomass525	PHENOLtex	1	35.1400666129393	1	-0	OK_90pct	-1000	1000	limited_xenobiotic_PFAS_adjacent_diagnostic
Klebsiella_pneumoniae_342.mat	bio1	3FCHLOR	1	102.624565316523	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Klebsiella_pneumoniae_342.mat	bio1	4FCHLOR	1	102.624565316523	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Klebsiella_pneumoniae_342.mat	bio1	CTCHLOR	1	102.624565316523	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Klebsiella_quasipneumoniae_700603.mat	bio1	3FCHLOR	1	101.875125281176	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Klebsiella_quasipneumoniae_700603.mat	bio1	4FCHLOR	1	101.875125281176	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Klebsiella_quasipneumoniae_700603.mat	bio1	CTCHLOR	1	101.875125281176	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Pseudomonas_aeruginosa_E2.mat	bio1	3FCHLOR	1	99.8858080438375	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Pseudomonas_aeruginosa_E2.mat	bio1	4FCHLOR	1	99.8858080438375	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
Pseudomonas_aeruginosa_E2.mat	bio1	CTCHLOR	1	99.8858080438375	1	-0	OK_90pct	-0	-0	limited_xenobiotic_PFAS_adjacent_diagnostic
