Target	Feature Type	Feature	Phenotype	Model	N	Beta Or Group Effect	P value	FDR q value	Interpretation
HUMAnN_pathways_prevalence10	Pathway	PWY-6281: L-selenocysteine biosynthesis II (archaea and eukaryotes)	PFBS	log1p_feature_cpm ~ PFBS + Age + Sex + BMI + SequencingBatch	46.0	6.28433992703632	1.4695170172709e-05	0.00677447344961884	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174T8S6	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	37.9931117692058	3.25646551958564e-05	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174JFP0	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	32.6021109021781	4.11300471723313e-05	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A1G4G8K7	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	31.171938195633	6.14821714788242e-05	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174NFW1	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	30.0974166129646	8.98623303916249e-05	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A1B1I9J8	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	30.1396635480278	0.000121838090936306	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174NW12	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	32.7049353839978	0.000175011629797381	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174WTG0	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	31.8729188385091	0.000177970612520282	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174TXK2	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	38.328229152849	0.000182524154393405	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174QJH9	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	28.8399106256587	0.00022833388434504	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174N6E6	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	30.6806598463657	0.000257245811009894	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174Y5D8	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	30.8271505261455	0.000271726651410507	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174UT22	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	32.2423797290336	0.000278833638149567	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174UWT8	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	31.3467219483415	0.000280125557116246	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174XHK8	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	32.4320448925974	0.000298945429283659	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174Y717	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	40.5767395812059	0.000310143222791651	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174NJW7	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	31.5263712989026	0.000311628167731116	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174XS90	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	31.3870253391943	0.000321300030982816	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174XTU1	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	40.6094480670299	0.000328340585770027	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_D1PFK6	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	37.7781141888177	0.000336064573500953	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174T0C6	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	32.5993265464282	0.000341801170210763	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174U7Q8	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	35.4510900448186	0.00034205168491919	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174SVG1	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	33.3218482266702	0.000347745426877603	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174XV80	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	30.8304243247332	0.000368544551434753	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174XLL7	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	30.4389361270568	0.000369892423222666	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174S692	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	31.4232883595891	0.000376228956796262	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A3E4SGY5	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	29.9980567362557	0.000377940568683908	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174V3C8	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	29.9303159732988	0.00038575473151368	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174WSQ3	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	31.4165118279189	0.000388418430573828	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174Y8F3	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	34.8168171839512	0.000392501366273361	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174VIU0	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	29.2883868413469	0.00039298498773063	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174XXE2	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	31.064978014675	0.000393208162208586	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174XN19	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	31.2181835210956	0.000406118827507032	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174PPG0	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	34.0829930664936	0.000406333674876289	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174J6X3	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	28.8469159857416	0.000406759609476074	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174Y4Q8	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	31.0734481205452	0.00040884656668217	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_D1PAV5	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	30.377936957158	0.000416408661453812	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_D1P9M9	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	29.8297683031311	0.000416967826918232	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174UKK8	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	35.2274038468604	0.000439059285124212	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_R6BS89: Putative DNA-binding protein	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	29.7233281972654	0.000440364105174192	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174SLJ8	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	40.5851884338964	0.000451459616312624	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A3E4SJ39	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	29.7102229021089	0.000465703675004661	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174XZB3	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	33.6960713842371	0.000469721772599857	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174XGE1	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	30.0143315526648	0.00047560553252031	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174Y7Y9	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	32.3784683837128	0.000475618413719219	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174X0J2	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	36.762545583899	0.000478180178773836	0.00846637007491162	FDR_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A174QDW1	mean_k_all_available	log1p_feature_cpm ~ mean_k_all_available + Age + Sex + BMI + SequencingBatch	46.0	35.0048283947212	0.000479376802045505	0.00846637007491162	FDR_significant
