Source Label	Method	Feature Family	P Value Bin	N Tests
CLR_comprehensive	CLR_LM	agora2_exchange	0-0.001	1286
CLR_comprehensive	CLR_LM	agora2_exchange	0.001-0.01	5987
CLR_comprehensive	CLR_LM	agora2_exchange	0.01-0.05	17635
CLR_comprehensive	CLR_LM	agora2_exchange	0.05-0.1	21939
CLR_comprehensive	CLR_LM	agora2_exchange	0.1-0.25	42223
CLR_comprehensive	CLR_LM	agora2_exchange	0.25-0.5	67834
CLR_comprehensive	CLR_LM	agora2_exchange	0.5-0.75	68805
CLR_comprehensive	CLR_LM	agora2_exchange	0.75-1.0	66443
CLR_comprehensive	CLR_LM	agora2_reaction	0-0.001	1724
CLR_comprehensive	CLR_LM	agora2_reaction	0.001-0.01	5120
CLR_comprehensive	CLR_LM	agora2_reaction	0.01-0.05	24384
CLR_comprehensive	CLR_LM	agora2_reaction	0.05-0.1	29010
CLR_comprehensive	CLR_LM	agora2_reaction	0.1-0.25	98891
CLR_comprehensive	CLR_LM	agora2_reaction	0.25-0.5	189169
CLR_comprehensive	CLR_LM	agora2_reaction	0.5-0.75	195658
CLR_comprehensive	CLR_LM	agora2_reaction	0.75-1.0	208420
CLR_comprehensive	CLR_LM	agora2_subsystem	0-0.001	82
CLR_comprehensive	CLR_LM	agora2_subsystem	0.001-0.01	314
CLR_comprehensive	CLR_LM	agora2_subsystem	0.01-0.05	814
CLR_comprehensive	CLR_LM	agora2_subsystem	0.05-0.1	1079
CLR_comprehensive	CLR_LM	agora2_subsystem	0.1-0.25	4408
CLR_comprehensive	CLR_LM	agora2_subsystem	0.25-0.5	11376
CLR_comprehensive	CLR_LM	agora2_subsystem	0.5-0.75	14123
CLR_comprehensive	CLR_LM	agora2_subsystem	0.75-1.0	15556
CLR_comprehensive	CLR_LM	humann_pathways	0-0.001	1413
CLR_comprehensive	CLR_LM	humann_pathways	0.001-0.01	7723
CLR_comprehensive	CLR_LM	humann_pathways	0.01-0.05	35488
CLR_comprehensive	CLR_LM	humann_pathways	0.05-0.1	38644
CLR_comprehensive	CLR_LM	humann_pathways	0.1-0.25	110464
CLR_comprehensive	CLR_LM	humann_pathways	0.25-0.5	191232
CLR_comprehensive	CLR_LM	humann_pathways	0.5-0.75	185204
CLR_comprehensive	CLR_LM	humann_pathways	0.75-1.0	181832
CLR_comprehensive	CLR_LM	mag_abundance	0-0.001	1272
CLR_comprehensive	CLR_LM	mag_abundance	0.001-0.01	5645
CLR_comprehensive	CLR_LM	mag_abundance	0.01-0.05	24731
CLR_comprehensive	CLR_LM	mag_abundance	0.05-0.1	30763
CLR_comprehensive	CLR_LM	mag_abundance	0.1-0.25	94907
CLR_comprehensive	CLR_LM	mag_abundance	0.25-0.5	165353
CLR_comprehensive	CLR_LM	mag_abundance	0.5-0.75	172527
