Cohort	Feature Family	Feature	N	Mean	Median	Min	Max	Prevalence Fraction Gt0	Status	Interpretation
Ronneby	agora2_exchange	EX_Cit_Mg(e)	65.0	0.003928405398887016	0.00205317039588	0.0	0.0446518438823	0.9692307692307692	DONE	Ronneby_association_cohort
Ronneby	agora2_exchange	EX_turan_D(e)	65.0	0.008811667079117846	0.00410723205142	0.0	0.128357290084	0.9846153846153847	DONE	Ronneby_association_cohort
Ronneby	agora2_exchange	EX_4hpro_LT(e)	65.0	0.01975724622241461	0.0181155688514	5.27794595097e-05	0.0627212093092	1.0	DONE	Ronneby_association_cohort
Ronneby	agora2_exchange	EX_btd_RR(e)	65.0	0.002130550016773394	0.0	0.0	0.135214383794	0.1076923076923077	DONE	Ronneby_association_cohort
Ronneby	agora2_exchange	EX_3dhcdchol(e)	65.0	0.005647836022994984	0.0040449510869	0.0	0.0417055580293	0.9846153846153847	DONE	Ronneby_association_cohort
Ronneby	agora2_exchange	EX_3dhchol(e)	65.0	0.005647836022994984	0.0040449510869	0.0	0.0417055580293	0.9846153846153847	DONE	Ronneby_association_cohort
Ronneby	agora2_exchange	EX_M03134(e)	65.0	0.006332287185986698	0.00392442908763	0.0	0.0622021136772	0.9846153846153847	DONE	Ronneby_association_cohort
Ronneby	agora2_exchange	EX_butam(e)	65.0	0.00629368441999716	0.00365609088151	0.0	0.0622021136772	0.9846153846153847	DONE	Ronneby_association_cohort
Ronneby	agora2_exchange	EX_norval_L(e)	65.0	0.00629368441999716	0.00365609088151	0.0	0.0622021136772	0.9846153846153847	DONE	Ronneby_association_cohort
Ronneby	agora2_exchange	EX_peamn(e)	65.0	0.00629368441999716	0.00365609088151	0.0	0.0622021136772	0.9846153846153847	DONE	Ronneby_association_cohort
Ronneby	agora2_exchange	EX_ocdcea(e)	65.0	0.07288537141605181	0.0654987362131	0.0	0.268792769266	0.8923076923076924	DONE	Ronneby_association_cohort
Ronneby	agora2_exchange	EX_but(e)	65.0	0.16535712515056616	0.157485011766	0.026024378059	0.349822313288	1.0	DONE	Ronneby_association_cohort
