Source Table	Source Label	Method	Feature Family	Predictor	Term	Feature	Effect	Se	Ci Low	Ci High	P value	FDR q value	Support Class
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOA	fecal_PFOA1.198974359	s__Coprococcus_phoceensis	10.8339072754879	0.645172110896379	9.569369938130997	12.098444612844801	1.19760218517818e-13	2.96119116307157e-09	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOS_62	fecal_PFOS_6223.51179487	s__Coprococcus_phoceensis	10.683529705807	0.646928203557565	9.415550426834173	11.951508984779828	1.66082698357704e-13	4.10656079959259e-09	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOS_62	fecal_PFOS_621.309164149	s__Coprococcus_phoceensis	10.1743567370439	0.687944942858766	8.825984649040718	11.52272882504708	1.41256347768684e-12	1.74635222746423e-08	FDR_lt_0.05
Table_S18_Phase9_terms_of_interest_results.tsv	Phase9_terms	ANCOMBC2	taxonomy_species	fecal_PFNA_derived_tertile	fecal_PFNA_derived_tertilemid	s__Alistipes_communis	-5.84855809107499				3.57163728396308e-11	2.26441803803259e-08	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOA	fecal_PFOA1.836427496	s__GGB4745_SGB6570	9.59455152257846	0.665666785357574	8.289844623277615	10.899258421879304	2.31603631454076e-12	2.44800015820657e-08	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOA	fecal_PFOA0.767371601	s__Coprococcus_phoceensis	10.4179432683493	0.732251955574172	8.982729435423922	11.853157101274677	2.97015306746733e-12	2.44800015820657e-08	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOA	fecal_PFOA0.614070352	s__GGB4745_SGB6570	9.24217252607437	0.669906580723997	7.9291556278553355	10.555189424293404	5.33851559333698e-12	3.30000341402125e-08	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOS_62	fecal_PFOS_6215.61414952	s__GGB4745_SGB6570	9.47393210658504	0.677179691930021	8.1466599104022	10.801204302767882	4.09247194344342e-12	3.37301537578606e-08	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOS_62	fecal_PFOS_622.808040201	s__GGB4745_SGB6570	9.04339491399708	0.656822383347793	7.756023042635405	10.330766785358755	5.54714357153509e-12	3.42896679874441e-08	FDR_lt_0.05
Table_S10_covariate_adjusted_sensitivity_models_comprehensive.tsv	CLR_comprehensive	CLR_LM	taxonomy_species	fecal_PFOS_62	fecal_PFOS_622.769897959	s__Coprococcus_phoceensis	9.2821877740833	0.730928622741259	7.849567673510432	10.714807874656167	2.54468714622981e-11	1.25839868755357e-07	FDR_lt_0.05
