Feature Set	Prediction Repeat	Fold	Tuned Mtry	Tuned Min Node Size	Inner Rmse
agora2_exchange	1	1	27	3	0.900748151957855
agora2_exchange	1	2	259	10	0.849503807555569
agora2_exchange	1	3	155	3	0.887816543765259
agora2_exchange	1	4	77	5	0.943026291359731
agora2_exchange	1	5	27	5	0.8697296451629
agora2_exchange	2	1	27	10	0.980882261756996
agora2_exchange	2	2	259	10	0.898866721293525
agora2_exchange	2	3	27	10	0.888477066232214
agora2_exchange	2	4	27	10	0.88464178095098
agora2_exchange	2	5	27	5	0.967012034594505
agora2_exchange	3	1	27	10	0.915662763573932
agora2_exchange	3	2	259	3	0.905600330807535
agora2_exchange	3	3	259	10	0.933244772060829
agora2_exchange	3	4	27	5	0.882685217217746
agora2_exchange	3	5	77	10	0.929373601209554
agora2_exchange	4	1	77	5	0.874776244073702
agora2_exchange	4	2	27	5	0.974522115679248
agora2_exchange	4	3	27	3	0.815822390349523
agora2_exchange	4	4	27	10	0.887383322262377
agora2_exchange	4	5	27	10	1.052594041516
agora2_exchange	5	1	27	3	0.798074291262925
agora2_exchange	5	2	27	3	0.927043058998141
agora2_exchange	5	3	27	5	0.891230012128833
agora2_exchange	5	4	27	5	0.823410039317238
agora2_exchange	5	5	259	5	0.900299812437431
agora2_exchange	6	1	27	3	0.93556716120937
agora2_exchange	6	2	27	10	0.866213681319648
agora2_exchange	6	3	259	10	0.949078345606244
agora2_exchange	6	4	27	5	0.885367857775963
agora2_exchange	6	5	27	10	0.970225019198869
agora2_exchange	7	1	259	10	0.872748538095662
agora2_exchange	7	2	259	10	0.88299850347182
agora2_exchange	7	3	259	10	0.93658824401523
agora2_exchange	7	4	27	10	0.915609612830618
agora2_exchange	7	5	77	5	1.0088709024363
agora2_exchange	8	1	27	10	0.955937759559939
agora2_exchange	8	2	27	5	0.817389811510372
agora2_exchange	8	3	77	10	0.951415799578086
agora2_exchange	8	4	27	10	0.850902133671251
agora2_exchange	8	5	77	10	0.921877313010994
agora2_exchange	9	1	259	5	0.923437827406071
agora2_exchange	9	2	27	5	0.98866616735002
agora2_exchange	9	3	155	10	1.05331298656085
agora2_exchange	9	4	77	3	0.854960147498586
agora2_exchange	9	5	259	5	0.814563086609204
agora2_exchange	10	1	27	5	0.795703882939979
agora2_exchange	10	2	155	10	0.938901313197745
agora2_exchange	10	3	155	3	0.933408522495443
agora2_exchange	10	4	259	5	1.02990586376148
agora2_exchange	10	5	155	10	0.919116624916096
agora2_exchange	11	1	155	5	0.90834158983682
agora2_exchange	11	2	27	10	1.07304893893827
agora2_exchange	11	3	27	10	0.852655289292839
agora2_exchange	11	4	155	5	0.907992638525783
agora2_exchange	11	5	27	5	0.969450465040765
agora2_exchange	12	1	27	10	0.738847756477044
agora2_exchange	12	2	155	10	0.986129824054183
agora2_exchange	12	3	259	3	0.864357657444305
agora2_exchange	12	4	27	10	0.936104734719351
agora2_exchange	12	5	27	3	0.93599189856311
agora2_exchange	13	1	27	3	1.05733644831552
agora2_exchange	13	2	27	10	0.960136804199423
agora2_exchange	13	3	77	5	0.921774934010208
agora2_exchange	13	4	27	3	0.597259344167206
agora2_exchange	13	5	155	3	1.13379065454809
agora2_exchange	14	1	77	5	0.768876591105201
agora2_exchange	14	2	259	3	0.982269904675788
agora2_exchange	14	3	27	10	0.94500527109985
agora2_exchange	14	4	259	5	1.07798551170147
agora2_exchange	14	5	155	3	0.988417000196929
agora2_exchange	15	1	27	3	0.942759257815987
agora2_exchange	15	2	259	5	0.875018884480349
agora2_exchange	15	3	77	10	0.791885444080253
agora2_exchange	15	4	27	10	0.912821205040506
agora2_exchange	15	5	27	3	0.937159214637471
agora2_exchange	16	1	259	10	0.994094006728195
agora2_exchange	16	2	77	10	1.0198815274125
agora2_exchange	16	3	155	5	0.916307058095671
agora2_exchange	16	4	27	3	0.917591121589494
agora2_exchange	16	5	27	10	0.866451978754711
agora2_exchange	17	1	77	3	0.906984183956523
agora2_exchange	17	2	27	5	0.901079534104834
agora2_exchange	17	3	27	5	0.93856257860735
agora2_exchange	17	4	27	10	0.902182525700064
agora2_exchange	17	5	155	10	0.90957483184308
agora2_exchange	18	1	27	3	0.789372168404075
agora2_exchange	18	2	27	5	0.933750839159178
agora2_exchange	18	3	77	5	0.830483666987672
agora2_exchange	18	4	155	3	0.910831766051169
agora2_exchange	18	5	27	5	0.974269902117937
agora2_exchange	19	1	27	10	0.783298995102513
agora2_exchange	19	2	27	5	0.971756317741568
agora2_exchange	19	3	259	10	1.03569121070936
agora2_exchange	19	4	155	10	0.925210707568602
agora2_exchange	19	5	27	10	0.939469349871673
agora2_exchange	20	1	27	10	0.917047105075885
agora2_exchange	20	2	259	3	0.918258764402175
agora2_exchange	20	3	27	10	1.0072003589329
agora2_exchange	20	4	155	10	0.851249921637921
agora2_exchange	20	5	77	10	0.837469992616749
agora2_exchange	21	1	259	10	0.96863347346428
agora2_exchange	21	2	77	10	0.874278703901499
agora2_exchange	21	3	27	5	0.910819143538369
agora2_exchange	21	4	27	10	0.859613041892846
agora2_exchange	21	5	77	10	0.943328138033324
agora2_exchange	22	1	27	10	0.853210607650879
agora2_exchange	22	2	259	10	0.931034219492958
agora2_exchange	22	3	77	3	0.867187781183078
agora2_exchange	22	4	27	10	0.905688916283329
agora2_exchange	22	5	27	10	0.911148479570727
agora2_exchange	23	1	27	10	0.921751600880786
agora2_exchange	23	2	155	10	1.05134172985719
agora2_exchange	23	3	77	5	0.816480634949489
agora2_exchange	23	4	155	10	0.874840992480182
agora2_exchange	23	5	155	3	0.997751300209897
agora2_exchange	24	1	27	10	0.892199739132743
agora2_exchange	24	2	27	10	0.835259816542693
agora2_exchange	24	3	77	10	0.936441134645797
agora2_exchange	24	4	27	10	1.08577156665132
agora2_exchange	24	5	27	5	0.878752078199009
agora2_exchange	25	1	27	5	0.85693947931599
agora2_exchange	25	2	259	3	0.811173930359356
agora2_exchange	25	3	77	5	0.919334237360954
agora2_exchange	25	4	27	10	0.820854286777416
agora2_exchange	25	5	27	3	0.962082390620911
agora2_exchange	26	1	27	10	0.949939552233069
agora2_exchange	26	2	27	3	0.836399715024489
agora2_exchange	26	3	77	3	0.963534860812074
agora2_exchange	26	4	27	10	0.935634079449531
agora2_exchange	26	5	27	10	1.00668838611072
agora2_exchange	27	1	27	5	0.924357123086529
agora2_exchange	27	2	27	3	0.886007043047033
agora2_exchange	27	3	27	3	0.936238020682108
agora2_exchange	27	4	259	5	0.958676416964202
agora2_exchange	27	5	27	10	1.0172422268648
agora2_exchange	28	1	27	10	0.818290208801189
agora2_exchange	28	2	259	10	0.9494544809138
agora2_exchange	28	3	27	10	0.954932219157014
agora2_exchange	28	4	77	5	1.09731156515598
agora2_exchange	28	5	155	10	0.794655623634849
