Candidate Rank	Rule-based candidate-priority score	Priority Class	Positive Elimination Followup Candidate	Feature Set	Feature Family	Feature	Mean Normalized Importance	Selection frequency	Spearman Feature Vs Primary Elimination Score	Direction For Elimination Hypothesis	Min Association P Value	Min Association Q Value	FDR Supported	Nominal Supported	Raw FDR Supported Before Control Filter	Raw Nominal Supported Before Control Filter	Association Support Is Control Or Availability Term	Prevalence Fraction Gt0	Coefficient Of Variation	Variance Prevalence Class	Public Context Matching Rows	Bioaccumulation Relevance Keyword Flag	Best Association Source	Best Association Method	Best Predictor	Best Term	Interpretation
1.0	8.81210256891158	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_species	s__GGB9708_SGB15233	0.00853883394903141	1.0	0.505434782608696	positive_higher_feature_higher_elimination	3.45678607724503e-05	0.00313086053281907	1	1	1	1	0	0.6	2.1329384583867537	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	PFHpA_derived_tertile	PFHpA_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
2.0	8.725924918984184	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_species	s__Bifidobacterium_catenulatum	0.0119976622605463	0.992	0.467969472710453	positive_higher_feature_higher_elimination	6.37179357603664e-07	0.000265953004403301	1	1	1	1	0	0.23076923076923078	3.4582967876148674	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	elim_k_PFPeS_derived_tertile	elim_k_PFPeS_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
3.0	8.7183887910797	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_species	s__Gallintestinimicrobium_propionicum	0.00224765389410356	1.0	0.227451433857539	positive_higher_feature_higher_elimination	6.84603879056588e-07	0.000528984859798537	1	1	1	1	0	0.9230769230769231	2.110952524233456	high_prevalence_high_variance	0	1	CLR_comprehensive	CLR_LM	fecal_PFOS_62	fecal_PFOS_622.808040201	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
4.0	8.696438523005876	highest_priority_FDR_supported_stable_positive	yes	agora2_subsystem	agora2_subsystem	Oxalate metabolism	0.00768579145380068	1.0	0.0751618871415356	positive_higher_feature_higher_elimination	4.94542042789985e-07	0.000829347005758804	1	1	1	1	0	1.0	1.0222008156102738	high_prevalence_high_variance	1	1	CLR_comprehensive	CLR_LM	fecal_PFOS_62	fecal_PFOS_622.931465733	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
5.0	8.675005847215038	highest_priority_FDR_supported_stable_positive	yes	taxonomy_species	taxonomy_species	s__GGB9708_SGB15233	0.0236557694787937	1.0	0.516535615171138	positive_higher_feature_higher_elimination	3.45678607724503e-05	0.00313086053281907	1	1	1	1	0	0.6	2.1329384583867537	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	PFHpA_derived_tertile	PFHpA_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
6.0	8.636831027867071	highest_priority_FDR_supported_stable_positive	yes	taxonomy_species	taxonomy_species	s__Bifidobacterium_catenulatum	0.0276617855572466	1.0	0.485430157261795	positive_higher_feature_higher_elimination	6.37179357603664e-07	0.000265953004403301	1	1	1	1	0	0.23076923076923078	3.4582967876148674	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	elim_k_PFPeS_derived_tertile	elim_k_PFPeS_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
7.0	8.636602634237903	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_species	s__Faecalibacterium_butyricigenerans	0.000583633612576863	0.968	0.255550416281221	positive_higher_feature_higher_elimination	0.00294450219132709	0.025081590038886	1	1	1	1	0	0.8	2.6510232623853183	high_prevalence_high_variance	0	1	Phase9_terms	ANCOMBC2	PFOS_branchedMP2_61_derived_tertile	PFOS_branchedMP2_61_derived_tertilelow	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
8.0	8.628423245636784	highest_priority_FDR_supported_stable_positive	yes	agora2_model_features	agora2_subsystem	Oxalate metabolism	0.000683245225618593	0.956	0.0751618871415356	positive_higher_feature_higher_elimination	4.94542042789985e-07	0.000829347005758804	1	1	1	1	0	1.0	1.0222008156102738	high_prevalence_high_variance	1	1	CLR_comprehensive	CLR_LM	fecal_PFOS_62	fecal_PFOS_622.931465733	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
9.0	8.5879021077606	highest_priority_FDR_supported_stable_positive	yes	taxonomy_species	taxonomy_species	s__Gallintestinimicrobium_propionicum	0.00663308333166974	1.0	0.274051803885291	positive_higher_feature_higher_elimination	6.84603879056588e-07	0.000528984859798537	1	1	1	1	0	0.9230769230769231	2.110952524233456	high_prevalence_high_variance	0	1	CLR_comprehensive	CLR_LM	fecal_PFOS_62	fecal_PFOS_622.808040201	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
10.0	8.573479392991377	highest_priority_FDR_supported_stable_positive	yes	agora2_model_features	agora2_exchange	EX_3dhcdchol(e)	0.000362815884008298	0.972	0.0166512488436633	positive_higher_feature_higher_elimination	2.01784637744665e-08	4.69754636669579e-05	1	1	1	1	0	0.9846153846153847	1.2196494957409978	high_prevalence_high_variance	1	1	CLR_comprehensive	CLR_LM	fecal_PFNA	fecal_PFNA0.108816121	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
