Cohort	Feature Family	Feature	Prevalence Gt0	Mean Abundance	Samples (n)	Interpretation
Nielsen	agora2_reaction	FEDCabcpp	1.0	0.0794599063107431	396.0	public_background_context_only_not_PFAS_validation
Nielsen	agora2_reaction	FEDCabcpp	1.0	50.0	1.0	public_background_context_only_not_PFAS_validation
Nielsen	agora2_subsystem	Oxalate metabolism	1.0	0.08710035105998724	396.0	public_background_context_only_not_PFAS_validation
Nielsen	agora2_subsystem	Oxalate metabolism	1.0	20.0	1.0	public_background_context_only_not_PFAS_validation
Nielsen	agora2_exchange	EX_3dhcdchol(e)	0.9772727272727273	0.0446070950260403	396.0	public_background_context_only_not_PFAS_validation
Nielsen	agora2_exchange	EX_3dhchol(e)	0.9772727272727273	0.0446070950260403	396.0	public_background_context_only_not_PFAS_validation
HMP	agora2_reaction	FEDCabcpp	0.8048128342245989	0.16814730623801125	748.0	public_background_context_only_not_PFAS_validation
HMP	agora2_reaction	FEDCabcpp	1.0	66.0	1.0	public_background_context_only_not_PFAS_validation
HMP	agora2_subsystem	Oxalate metabolism	0.9237967914438503	0.2107267099037374	748.0	public_background_context_only_not_PFAS_validation
HMP	agora2_subsystem	Oxalate metabolism	1.0	21.0	1.0	public_background_context_only_not_PFAS_validation
HMP	agora2_exchange	EX_3dhcdchol(e)	0.2446524064171123	0.00961283732388805	748.0	public_background_context_only_not_PFAS_validation
HMP	agora2_exchange	EX_3dhchol(e)	0.2446524064171123	0.00961283732388805	748.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Alistipes	0.952020202020202	2.7069300252525252	396.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Haemophilus	0.4318181818181818	0.07621088383838384	396.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Intestinibacter	0.5858585858585859	0.12992762626262627	396.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Sutterella	0.31565656565656564	0.01167588383838384	396.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Turicibacter	0.3055555555555556	0.017020631313131314	396.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Alistipes	0.48951048951048953	1.989830952797203	1144.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Haemophilus	0.6022727272727273	2.8465466083916082	1144.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Intestinibacter	0.23776223776223776	0.04613487762237762	1144.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Sutterella	0.17657342657342656	0.005586888111888112	1144.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Turicibacter	0.14160839160839161	0.006503977272727272	1144.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Alistipes	0.5161290322580645	2.7591874301075268	1209.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Gallintestinimicrobium	0.04962779156327544	0.02439468899917287	1209.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__GGB9531	0.022332506203473945	0.0007939627791563275	1209.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__GGB9627	0.028949545078577336	0.001161492142266336	1209.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Haemophilus	0.6046319272125724	2.695748617866005	1209.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Intestinibacter	0.2531017369727047	0.04437777419354839	1209.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Jutongia	0.01488833746898263	0.00048243589743589743	1209.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Neobittarella_ex_Bilen_et_al_2018	0.009098428453267164	2.459718775847808e-05	1209.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Sutterella	0.20181968569065342	0.06563394458229942	1209.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Turicibacter	0.15384615384615385	0.006309196029776675	1209.0	public_background_context_only_not_PFAS_validation
Nielsen	taxonomy_genus	g__Waltera	0.05293631100082713	0.025870909015715468	1209.0	public_background_context_only_not_PFAS_validation
Nielsen	humann_pathways	FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Bacteroides.s__Bacteroides_vulgatus	0.35353535353535354	5.665905242424243e-06	396.0	public_background_context_only_not_PFAS_validation
Nielsen	humann_pathways	PWY-5005: biotin biosynthesis II	0.7676767676767676	1.7795837424242423e-05	396.0	public_background_context_only_not_PFAS_validation
Nielsen	humann_pathways	FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Bacteroides.s__Bacteroides_vulgatus	0.17744755244755245	3.5936544213286714e-06	1144.0	public_background_context_only_not_PFAS_validation
Nielsen	humann_pathways	PWY-5005: biotin biosynthesis II	0.7937062937062938	4.0256816009615383e-05	1144.0	public_background_context_only_not_PFAS_validation
Nielsen	humann_pathways	PWY-5005: biotin biosynthesis II	0.8039702233250621	1.092183510171642	1209.0	public_background_context_only_not_PFAS_validation
HMP	taxonomy_genus	g__Alistipes	0.2446524064171123	1.610190267379679	748.0	public_background_context_only_not_PFAS_validation
HMP	taxonomy_genus	g__Haemophilus	0.6925133689839572	4.3131949331550805	748.0	public_background_context_only_not_PFAS_validation
HMP	taxonomy_genus	g__Intestinibacter	0.053475935828877004	0.0017740106951871658	748.0	public_background_context_only_not_PFAS_validation
HMP	taxonomy_genus	g__Sutterella	0.10294117647058823	0.0023633021390374333	748.0	public_background_context_only_not_PFAS_validation
HMP	taxonomy_genus	g__Turicibacter	0.05481283422459893	0.0009363368983957219	748.0	public_background_context_only_not_PFAS_validation
