Source	Feature	Match Level	Feature Species Key	Feature Genus Key	Feature Family Key	Claim Allowed	Interpretation
Ronneby_MAG_GTDB_taxonomy	A01_bin.31	family	mediterraneibacter_torques	mediterraneibacter	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A01_bin.61	family	blautia_a_fusiformis	blautia_a	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A01_bin.65	family	acetatifactor_intestinalis	acetatifactor	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A01_bin.84	family	anaerostipes_amylophilus	anaerostipes	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A02_bin.25	family	anaerobutyricum_hallii	anaerobutyricum	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A03_bin.12	family	fusicatenibacter_saccharivorans	fusicatenibacter	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A03_bin.17	family	eubacterium_g_ventriosum	eubacterium_g	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A03_bin.21	family	hominisplanchenecus_faecis	hominisplanchenecus	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A03_bin.22	family	eubacterium_f_sp003491505	eubacterium_f	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A03_bin.28	family	gallintestinimicrobium_propionicum	gallintestinimicrobium	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A03_bin.31	family	coprococcus_c_hominis	coprococcus_c	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A03_bin.36	family	jutongia_sp003524945	jutongia	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A03_bin.45	family	lachnospira_eligens_a	lachnospira	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A03_bin.66	family	paraprevotella_clara	paraprevotella	bacteroidaceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A03_bin.75	family	anthropogastromicrobium_aceti	anthropogastromicrobium	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A04_bin.36	family	dorea_a_longicatena	dorea_a	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A04_bin.50	family	blautia_a_wexlerae	blautia_a	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
Ronneby_MAG_GTDB_taxonomy	A04_bin.72	family	eubacterium_g_segne	eubacterium_g	lachnospiraceae	only_genus_or_family_overlap_allowed	overlap_with_experimental_bioaccumulation_reference_not_mechanistic_validation
