MAG ID	Cluster ID	Representative MAG ID	Is Representative	Gtdb Classification	Gtdb Domain	Gtdb Phylum	Gtdb Class	Gtdb Order	Gtdb Family	Gtdb Genus	Gtdb Species	Completeness	Contamination	Genome Size Bp	Contigs	N50 Contigs	Gc	Predicted Genes	Samples With Relative Abundance Gt0	Prevalence Fraction	Mean Relative Abundance Percent	Median Relative Abundance Percent	Median Nonzero Relative Abundance Percent	Max Relative Abundance Percent	Total Relative Abundance Percent Across Samples	Samples With Covered Fraction Gt0	Mean Covered Fraction
A01_bin.12	ANI95_cluster_00001	A01_bin.12	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter ornithocaccae	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter ornithocaccae	97.99	1.23	2362010	110	34483	61.700289	2242	27.0	0.4153846154	0.02183575013	0.0	0.022783091	0.4748867	1.419323758	27.0	0.2227434263
A01_bin.14	ANI95_cluster_00055	A09_bin.62	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium	Ruthenibacterium lactatiformans	97.28	1.86	3224326	87	65111	58.400484	2985	51.0	0.7846153846	0.0276560212	0.009563613	0.01412658	0.72093105	1.797641378	51.0	0.2940354535
A01_bin.16	ANI95_cluster_00056	B01_bin.20	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes dispar	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes dispar	96.95	7.45	2678953	30	177100	61.990001	2191	8.0	0.1230769231	0.06585489019	0.0	0.12420156	1.8582957	4.280567863	8.0	0.08384296662
A01_bin.17	ANI95_cluster_00143	C03_bin.49	False	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	94.41	0.77	2308583	45	83717	60.063164	1984	53.0	0.8153846154	0.02580216228	0.014635764	0.019830305	0.2083077	1.677140548	53.0	0.2984136897
A01_bin.20	ANI95_cluster_00280	F02_bin.31	False	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia massiliensis	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia massiliensis	97.96	0.0	3079112	45	95106	57.888735	2556	12.0	0.1846153846	0.02687931988	0.0	0.12459608	0.34452742	1.747155792	12.0	0.1564704378
A01_bin.21	ANI95_cluster_00231	D08_bin.97	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae	98.85	1.06	4021565	50	146354	45.454319	3300	42.0	0.6461538462	0.02292790329	0.01744784	0.02301266	0.12659802	1.490313714	42.0	0.2894405948
A01_bin.23	ANI95_cluster_00222	D08_bin.21	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis	93.32	0.96	1839394	19	195472	55.280761	1593	52.0	0.8	0.1119429457	0.07772115	0.120148405	0.7851159	7.27629147	52.0	0.4964511374
A01_bin.25	ANI95_cluster_00021	A04_bin.93	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis	97.05	0.68	2546995	242	16209	56.521626	2159	48.0	0.7384615385	0.01533557368	0.008764941	0.014134184	0.20940708	0.9968122895	48.0	0.2050286114
A01_bin.28	ANI95_cluster_00002	A01_bin.28	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1623;s__UMGS1623 sp934647945	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1623	UMGS1623 sp934647945	89.35	4.62	2336113	390	8103	59.880109	2381	23.0	0.3538461538	0.01185234985	0.0	0.0110790115	0.22776434	0.7704027401	23.0	0.1188376144
A01_bin.29	ANI95_cluster_00003	A01_bin.29	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Scatomorpha;s__Scatomorpha pullicola	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Scatomorpha	Scatomorpha pullicola	94.16	1.34	2163083	165	18892	62.340604	2149	9.0	0.1384615385	0.01025748759	0.0	0.0378193	0.34600914	0.6667366935	9.0	0.08670087246
