fastANI95_representative	GTDB_representative_classification	GTDB_display_taxon	representative_oxygen_use_class	n_clusters_in_this_oxygen_class	n_analysis_MAG_members	analysis_MAG_members	member_oxygen_use_classes	all_analysis_members_match_representative_trait	class_level_cluster_sum_p_value	class_level_cluster_max_p_value
A01_bin.12	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter ornithocaccae	Acutalibacter ornithocaccae	Predicted anaerobe	280	1	A01_bin.12	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A01_bin.28	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1623;s__UMGS1623 sp934647945	UMGS1623 sp934647945	Predicted anaerobe	280	1	A01_bin.28	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A01_bin.29	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Scatomorpha;s__Scatomorpha pullicola	Scatomorpha pullicola	Predicted anaerobe	280	1	A01_bin.29	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A01_bin.31	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	Mediterraneibacter torques	Predicted anaerobe	280	3	A01_bin.31,A09_bin.17,C07_bin.33	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A01_bin.47	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Egerieenecus;s__Egerieenecus merdigallinarum	Egerieenecus merdigallinarum	Predicted anaerobe	280	1	A01_bin.47	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A01_bin.49	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp003516765	CAG-170 sp003516765	Predicted anaerobe	280	2	A01_bin.49,G01_bin.40	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A01_bin.66	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Ventricola;s__Ventricola sp900542395	Ventricola sp900542395	Predicted anaerobe	280	8	A01_bin.66,B02_bin.74,C04_bin.11,E03_bin.8,E06_bin.22,G01_bin.48,G03_bin.9,H03_bin.106	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A01_bin.69	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__Anaerotardibacter sp000435675	Anaerotardibacter sp000435675	Predicted anaerobe	280	6	A01_bin.69,A02_bin.13,A07_bin.2,C01_bin.85,D03_bin.44,G01_bin.37	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A01_bin.72	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium hattorii	Faecalibacterium hattorii	Predicted anaerobe	280	1	A01_bin.72	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A01_bin.77	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp963557435	Oscillibacter sp963557435	Predicted anaerobe	280	1	A01_bin.77	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A01_bin.86	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__HGM13006;s__HGM13006 sp965147785	HGM13006 sp965147785	Predicted anaerobe	280	1	A01_bin.86	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A03_bin.15	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_F;g__Mesosutterella;s__Mesosutterella massiliensis	Mesosutterella massiliensis	Predicted anaerobe	280	2	A03_bin.15,C03_bin.61	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A03_bin.17	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G ventriosum	Eubacterium G ventriosum	Predicted anaerobe	280	1	A03_bin.17	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A03_bin.21	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominisplanchenecus;s__Hominisplanchenecus faecis	Hominisplanchenecus faecis	Predicted anaerobe	280	8	A03_bin.21,B04_bin.3,B09_bin.58,C05_bin.81,C06_bin.20,D05_bin.30,E01_bin.12,G06_bin.21	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A03_bin.68	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	Roseburia hominis	Predicted anaerobe	280	12	A03_bin.68,B03_bin.70,B08_bin.5,C05_bin.11,C08_bin.49,D06_bin.88,D08_bin.81,E01_bin.69,E02_bin.71,E07_bin.54,F05_bin.32,H01_bin.40	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A04_bin.71	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A ihumii	Alistipes A ihumii	Predicted anaerobe	280	21	A01_bin.5,A04_bin.71,A06_bin.37,B02_bin.84,B06_bin.101,C01_bin.30,C05_bin.123,D01_bin.71,D03_bin.1,D05_bin.16,E02_bin.72,E04_bin.6,E08_bin.82,F04_bin.35,F06_bin.7,F08_bin.68,G01_bin.1,G02_bin.62,G05_bin.14,G06_bin.43,H06_bin.90	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A04_bin.72	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G segne	Eubacterium G segne	Predicted anaerobe	280	1	A04_bin.72	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
