MAG ID	Cluster ID	Cluster Size	Representative MAG ID	Is Representative	Quality Score	Completeness	Contamination	N50 Contigs	Contigs	Genome Size Bp
A01_bin.12	ANI95_cluster_00001	1	A01_bin.12	True	92.17383	97.99	1.23	34483	110	2362010
A01_bin.28	ANI95_cluster_00002	1	A01_bin.28	True	66.29203	89.35	4.62	8103	390	2336113
A01_bin.29	ANI95_cluster_00003	1	A01_bin.29	True	87.63242	94.16	1.34	18892	165	2163083
A01_bin.31	ANI95_cluster_00004	3	A01_bin.31	True	92.33174	91.73	0.0	60844	67	2276978
A09_bin.17	ANI95_cluster_00004	3	A01_bin.31	False	78.46155	87.1	1.75	13185	203	2051467
C07_bin.33	ANI95_cluster_00004	3	A01_bin.31	False	83.13658	90.35	1.46	11388	273	2102851
A01_bin.47	ANI95_cluster_00005	1	A01_bin.47	True	89.04357	93.01	0.81	11837	348	2841231
A01_bin.49	ANI95_cluster_00006	2	A01_bin.49	True	84.19243	92.73	1.73	13843	260	2181759
G01_bin.40	ANI95_cluster_00006	2	A01_bin.49	False	78.90582	87.01	1.68	30552	97	1899691
A01_bin.66	ANI95_cluster_00007	8	A01_bin.66	True	97.02807	97.98	0.27	40677	87	2566478
B02_bin.74	ANI95_cluster_00007	8	A01_bin.66	False	68.46835	83.91	3.09	5745	491	2284664
C04_bin.11	ANI95_cluster_00007	8	A01_bin.66	False	80.92764	80.54	0.0	39414	65	1973421
E03_bin.8	ANI95_cluster_00007	8	A01_bin.66	False	96.14533	97.18	0.27	32763	123	2489189
E06_bin.22	ANI95_cluster_00007	8	A01_bin.66	False	62.87761	91.4	5.71	7171	441	2459329
G01_bin.48	ANI95_cluster_00007	8	A01_bin.66	False	68.17961	90.45	4.46	7581	462	2648430
G03_bin.9	ANI95_cluster_00007	8	A01_bin.66	False	84.54222	95.11	2.16	24632	141	2429192
H03_bin.106	ANI95_cluster_00007	8	A01_bin.66	False	79.70254	90.99	2.28	13934	268	2498806
A01_bin.69	ANI95_cluster_00008	6	A01_bin.69	True	100.85129	98.39	0.12	306209	8	1626563
A02_bin.13	ANI95_cluster_00008	6	A01_bin.69	False	96.30154	96.77	0.2	53664	51	1546094
A07_bin.2	ANI95_cluster_00008	6	A01_bin.69	False	89.31058	92.74	0.81	62368	31	1515428
C01_bin.85	ANI95_cluster_00008	6	A01_bin.69	False	81.01025	85.54	0.92	8985	196	1341374
D03_bin.44	ANI95_cluster_00008	6	A01_bin.69	False	73.35814	82.0	1.73	3924	311	1133190
G01_bin.37	ANI95_cluster_00008	6	A01_bin.69	False	100.71823	100.0	0.12	132093	27	1663851
A01_bin.72	ANI95_cluster_00009	1	A01_bin.72	True	80.52105	94.58	2.89	39945	84	2156014
A01_bin.77	ANI95_cluster_00010	1	A01_bin.77	True	69.19938	92.56	4.7	16118	218	2242544
A01_bin.86	ANI95_cluster_00011	1	A01_bin.86	True	45.09113	90.65	9.12	11683	757	5732609
A02_bin.52	ANI95_cluster_00012	1	A02_bin.52	True	92.73388	95.21	0.6	53138	75	2265970
A03_bin.15	ANI95_cluster_00013	2	A03_bin.15	True	99.00597	96.88	0.0	212817	22	2408386
C03_bin.61	ANI95_cluster_00013	2	A03_bin.15	False	82.47535	85.0	0.52	9435	190	1397190
A03_bin.17	ANI95_cluster_00014	1	A03_bin.17	True	71.67536	92.1	4.08	5826	829	3697454
A03_bin.21	ANI95_cluster_00015	8	A03_bin.21	True	85.87878	86.91	0.27	32888	101	2168407
B04_bin.3	ANI95_cluster_00015	8	A03_bin.21	False	79.6344	94.94	3.16	50200	76	2504046
B09_bin.58	ANI95_cluster_00015	8	A03_bin.21	False	83.76057	89.82	1.27	30177	112	2274093
C05_bin.81	ANI95_cluster_00015	8	A03_bin.21	False	42.40585	85.96	8.77	30685	110	2378886
C06_bin.20	ANI95_cluster_00015	8	A03_bin.21	False	80.95986	89.69	1.8	28366	138	2515785
D05_bin.30	ANI95_cluster_00015	8	A03_bin.21	False	72.05665	90.9	3.8	18205	254	2590061
E01_bin.12	ANI95_cluster_00015	8	A03_bin.21	False	81.46524	87.48	1.27	34624	110	2287335
G06_bin.21	ANI95_cluster_00015	8	A03_bin.21	False	67.76701	97.47	6.01	35981	128	2683568
A03_bin.36	ANI95_cluster_00016	1	A03_bin.36	True	95.5136	97.99	0.67	87870	51	3018020
A03_bin.5	ANI95_cluster_00017	1	A03_bin.5	True	86.60568	88.03	0.85	282708	14	1924745
A03_bin.68	ANI95_cluster_00018	12	A03_bin.68	True	98.82101	99.28	0.24	74671	57	2999146
B03_bin.70	ANI95_cluster_00018	12	A03_bin.68	False	97.43996	99.4	0.48	44936	94	2972930
B08_bin.5	ANI95_cluster_00018	12	A03_bin.68	False	73.21759	87.28	2.82	7939	418	2528851
C05_bin.11	ANI95_cluster_00018	12	A03_bin.68	False	85.19274	96.7	2.33	16914	264	2857591
C08_bin.49	ANI95_cluster_00018	12	A03_bin.68	False	92.70216	96.78	0.97	77796	58	2959679
D06_bin.88	ANI95_cluster_00018	12	A03_bin.68	False	95.6398	97.99	0.72	125520	54	2925494
D08_bin.81	ANI95_cluster_00018	12	A03_bin.68	False	92.0003	97.37	1.21	68680	65	2999544
E01_bin.69	ANI95_cluster_00018	12	A03_bin.68	False	52.29885	84.01	6.52	89365	48	2836358
E02_bin.71	ANI95_cluster_00018	12	A03_bin.68	False	95.22621	97.99	0.72	84121	50	3054030
E07_bin.54	ANI95_cluster_00018	12	A03_bin.68	False	93.41905	94.51	0.4	91415	51	2899638
F05_bin.32	ANI95_cluster_00018	12	A03_bin.68	False	60.79573	88.52	5.56	11053	348	2692916
H01_bin.40	ANI95_cluster_00018	12	A03_bin.68	False	79.18655	96.54	3.54	35855	120	2883451
A01_bin.5	ANI95_cluster_00019	21	A04_bin.71	False	97.19659	97.6	0.48	199859	20	2515951
A04_bin.71	ANI95_cluster_00019	21	A04_bin.71	True	101.8515	100.0	0.0	185410	26	2573674
A06_bin.37	ANI95_cluster_00019	21	A04_bin.71	False	71.36802	83.97	2.52	4682	488	1992386
B02_bin.84	ANI95_cluster_00019	21	A04_bin.71	False	73.6433	92.55	3.94	79840	51	2548040
B06_bin.101	ANI95_cluster_00019	21	A04_bin.71	False	98.97101	98.56	0.0	41981	88	2498774
C01_bin.30	ANI95_cluster_00019	21	A04_bin.71	False	78.05057	91.35	2.88	110377	32	2513062
C05_bin.123	ANI95_cluster_00019	21	A04_bin.71	False	82.46263	93.3	2.18	9603	334	2412813
